dealname
26_FORTIMED_TSHIRT
25_LIDL_BUDGET_ART14
25_TESYA GROUP
26_MARELLA_ASTUCCIO UMBERTO
25_AIDP_SHOPPER
25_VERTOURS_PORTA DOC TAG
26_LUISS GUIDO CARLI_PER SHOP
C26_GENERALI GROUP 
26C_BRIONI_SHOPPER
25_IKEA_TASCA CINTURA
25_MOLESKINE_ASTUCCIO PORTACHIAVI
26_CLARINS_SCRUNCHIES MAY
26_MARSILIO ARTE_PRODOTTI VARI
25_RANA_BUDGET
25_EUROTEL
26_MOVE VIAGGI INTERGEA_BEAUTY
25_PESPOW DIOR S.P.A._SHOPPER WELCOME KIT_GIU26
26_RICHEMONT
26_KERING_BUDGET
25_GRUPPO AUTOSERENISSIMA _PORTACHIAVI
25_ISA S.P.A._TWILLY GUCCI
26_SADESIGN 
26_RITTAL RCS_
C26_OTS_T-SHIRT
25_GRUPPO AUTOSERENISSIMA_BORSONE NEW YOR
26_BIOLINE JATO'_VARIE
26_COMAC_VARIE
26_L’ERBOLARIO_ VARIE
26_ECORNATURASI_PRODOTTI CLIENTI
26_CLARINS_POUCHES OTTOBRE
26_PAKELO_REGALI DI NATALE
25_BOTTEGA VENETA_
26_KERING_FATBOY
C26_CDP_WELCOMEKIT 
25_DE'LONGHI GROUP_ZAINO
26_AIRC_NASTRO ROSA CONTINUATIVI
26_ATELIER EME_KIMONO
25_FISCHBACHER 1819_SHOPPER
26_BLASTNESS_GIFT VARI
26_MIAMO_GIFT
26_FORTIMED_SET BERRETTE SCIARPE
25_ERNST & YOUNG_NATALE
26C_VIVIENNE WESTWOOD_ELASTICI SS27
26_GR VALUE
26_OTB_SHOPPER NATALE
26_PUBLICIS GROUPE 
25_LORO PIANA_DEBRANDING
25_MONDE_BUDGETART14
26_SORMA_NATALE
C26_UNIPOL_ZAINI_OCT
25_PETTENON COSMETIC_BUDGETART14
26C_VETROCAR_VARIE
26_AVIOPARKING
26_VIVIENNE WESTWOOD _ PRODOTTI VARI
26_VERALLIA_BUDGET
26_UNIFARCO DOLOMIA_SACCHETTO
C26_GOLDEN POINT_PT3 NATALE
26_VITTORIA ASSICURAZIONI
26_GRUPPO CONTEC _ REGALI NATALE
25_COSTA CROCIERE
26_ACTIONAID
26_ZANARDI FONDERIE_BUDGETART14
