dealname,company_name,amount,data_consegna,createdate,dealstage,dealtype,description,pipeline,hs_forecast_probability,hs_deal_stage_probability,art14_trat,prodotti,quantita
26_L’ERBOLARIO_ VARIE,L’ERBOLARIO,5000,31-07-2026,09-02-2026,LEAD COLTIVAZIONE,,,,60.0%,60.0%,false,,
26_ECORNATURASI_PRODOTTI CLIENTI,ECORNATURASI.IT,100000,17-08-2026,11-02-2026,LEAD COLTIVAZIONE,,,,80.0%,80.0%,false,,
26_PAKELO_REGALI DI NATALE,PAKELO.IT,13700,31-08-2026,22-01-2026,LEAD COLTIVAZIONE,,,,50.0%,50.0%,false,,
26_KERING_PORTACHIAVI,KERING,15000,01-09-2026,15-01-2026,PREVENTIVO E NEGOZIAZIONE,,,,90.0%,90.0%,false,,
26_MIAMO_GIFT,MIAMO.IT,10000,30-09-2026,09-02-2026,LEAD COLTIVAZIONE,,,,60.0%,60.0%,false,,
26_FORTIMED_SET BERRETTE SCIARPE,FORTIMED,6000,01-10-2026,13-02-2026,LEAD COLTIVAZIONE,,,,90.0%,90.0%,false,,
25_ERNST & YOUNG_NATALE,ERNEST&YOUNG,300000,05-10-2026,21-03-2025,PRESENTATIONSCHEDULED,NEWBUSINESS,,,90.0%,90.0%,false,,
26_GOLDEN POINT_FW26_BEAUTY OCT,GOLDEN POINT,54000,05-10-2026,15-01-2026,SVILUPPO CAMPIONE,,,,90.0%,90.0%,true,,
26_OTB_SHOPPER NATALE,OTB GROUP,45000,05-10-2026,15-01-2026,LEAD COLTIVAZIONE,,,,90.0%,90.0%,true,,
26_PUBLICIS GROUPE ,PUBLICIS GROUPE,1000,05-10-2026,02-02-2026,LEAD COLTIVAZIONE,,,,30.0%,30.0%,false,,
25_LORO PIANA_DEBRANDING,LORO PIANA,15000,12-10-2026,15-04-2025,PREVENTIVO E NEGOZIAZIONE,,,,60.0%,60.0%,,,
25_MONDE_BUDGETART14,MONDE,29000,12-10-2026,23-09-2025,PREVENTIVO E NEGOZIAZIONE,,,,90.0%,90.0%,true,,
26_SORMA_NATALE,SORMA,30000,12-10-2026,16-01-2026,LEAD COLTIVAZIONE,,,,90.0%,90.0%,,,
25_PETTENON COSMETIC_BUDGETART14,PETTENON COSMETIC,84850,24-10-2026,30-06-2025,LEAD COLTIVAZIONE,,,,90.0%,90.0%,,,
26_AVIOPARKING,AVIOPARKING,5000,30-10-2026,13-02-2026,LEAD COLTIVAZIONE,,,,60.0%,60.0%,false,,
26_VIVIENNE WESTWOOD _ PRODOTTI VARI,VIVIENNE WESTWOOD,20000,31-10-2026,29-01-2026,SVILUPPO CAMPIONE,,,,50.0%,50.0%,false,,
26_VERALLIA_BUDGET,VERALLIA,42000,02-11-2026,16-01-2026,LEAD COLTIVAZIONE,,,,90.0%,90.0%,true,,
26_UNIFARCO DOLOMIA_SACCHETTO,UNIFARCO,110500,03-11-2026,14-01-2026,PREVENTIVO E NEGOZIAZIONE,,,,90.0%,90.0%,false,,
26_VITTORIA ASSICURAZIONI,VITTORIA ASSICURAZIONI S.P.A.,30000,20-11-2026,10-02-2026,LEAD COLTIVAZIONE,,,,50.0%,50.0%,false,,
26_GRUPPO CONTEC _ REGALI NATALE,GRUPPO CONTEC,6000,30-11-2026,10-02-2026,LEAD COLTIVAZIONE,,,,90.0%,90.0%,false,,
25_COSTA CROCIERE,COSTA CROCIERE FOUNDATION,70000,31-12-2026,30-05-2025,LEAD COLTIVAZIONE,,,,10.0%,10.0%,,,
26_ACTIONAID,ACTIONAID,5000,31-12-2026,26-01-2026,LEAD COLTIVAZIONE,,,,50.0%,50.0%,false,,
26_AGSM-MAGIS_CAMPIONATURA,AGSM,3500,31-12-2026,12-06-2025,LEAD COLTIVAZIONE,,,,60.0%,60.0%,,,
26_ZANARDI FONDERIE_BUDGETART14,ZANARDI FONDERIE,27000,31-12-2026,02-02-2026,LEAD COLTIVAZIONE,,,,90.0%,90.0%,true,,
