dealname
26_MARSILIO ARTE_UPCYCLING BORSE INVENDUTE
25_ZALANDO_ZAINO
CAPITAL ADVISORY - NUOVO ELEMENTO DEAL
26_FORTIMED_
25_DE'LONGHI GROUP_ZAINO
25_FISCHBACHER 1819_SHOPPER
25_LIDL_BUDGET_ART14
25_TESYA GROUP
26_AIRC_FESTA DELLA MAMMA
26_FALCONERI_ABITI
26_MARELLA_ASTUCCIO UMBERTO
25_EUROTEL
25_ISA S.P.A._TWILLY GUCCI
25_AIDP_SHOPPER
26_LUISS GUIDO CARLI_PER SHOP
25_IKEA_TASCA CINTURA
25_MOLESKINE_ASTUCCIO PORTACHIAVI
26_MARSILIO ARTE_PRODOTTI VARI
25_RANA_BUDGET
25_VIVIENNE WESTWOOD
26_MOVE VIAGGI INTERGEA_BEAUTY
25_PESPOW DIOR S.P.A._SHOPPER WELCOME KIT_GIU26
26_RICHEMONT
25_GRUPPO AUTOSERENISSIMA _PORTACHIAVI
26_SADESIGN 
26_RITTAL RCS_
26_VITALE BARBERIS 
25_GRUPPO AUTOSERENISSIMA_BORSONE NEW YOR
26_BIOLINE JATO'_VARIE
26_COMAC_VARIE
26_L’ERBOLARIO_ VARIE
26_ECORNATURASI_PRODOTTI CLIENTI
26_PAKELO_REGALI DI NATALE
26_KERING_PORTACHIAVI
26_MIAMO_GIFT
26_FORTIMED_SET BERRETTE SCIARPE
25_ERNST & YOUNG_NATALE
26_GOLDEN POINT_FW26_BEAUTY OCT
26_OTB_SHOPPER NATALE
26_PUBLICIS GROUPE 
25_LORO PIANA_DEBRANDING
25_MONDE_BUDGETART14
26_SORMA_NATALE
25_PETTENON COSMETIC_BUDGETART14
26_AVIOPARKING
26_VIVIENNE WESTWOOD _ PRODOTTI VARI
26_VERALLIA_BUDGET
26_UNIFARCO DOLOMIA_SACCHETTO
26_VITTORIA ASSICURAZIONI
26_GRUPPO CONTEC _ REGALI NATALE
25_COSTA CROCIERE
26_ACTIONAID
26_AGSM-MAGIS_CAMPIONATURA
26_ZANARDI FONDERIE_BUDGETART14
